timestamp,left_x,left_y,right_x,right_y,head_x,head_y,center_x,center_y,eye_dx,eye_dy,head_eye_dx,head_eye_dy
1754382529.4182882,711,386,579,383,639,476,645,384,132,3,6,92
1754382529.45069,710,386,578,383,638,476,644,384,132,3,6,92
1754382529.487081,708,386,578,383,637,476,643,384,130,3,6,92
1754382529.519181,707,386,576,383,636,476,641,384,131,3,5,92
1754382529.552364,706,385,575,383,634,476,640,384,131,2,6,92
1754382529.583806,705,385,574,383,634,475,639,384,131,2,5,91
1754382529.617472,704,385,573,383,633,476,638,384,131,2,5,92
1754382529.6518002,704,385,573,384,633,476,638,384,131,1,5,92
1754382529.6862028,703,385,571,384,631,476,637,384,132,1,6,92
1754382529.717968,702,385,571,384,631,476,636,384,131,1,5,92
1754382529.752652,701,385,570,384,630,476,635,384,131,1,5,92
1754382529.785965,700,385,569,384,629,476,634,384,131,1,5,92
1754382529.817176,699,385,568,384,628,476,633,384,131,1,5,92
1754382529.8511832,698,385,567,384,628,476,632,384,131,1,4,92
1754382529.886507,698,384,566,384,628,476,632,384,132,0,4,92
1754382529.9199,698,384,566,383,627,476,632,383,132,1,5,93
1754382529.951999,698,384,566,383,627,476,632,383,132,1,5,93
1754382529.9867609,698,384,566,383,627,475,632,383,132,1,5,92
1754382530.0179799,698,384,567,383,627,475,632,383,131,1,5,92
1754382530.0523891,698,384,567,383,627,475,632,383,131,1,5,92
1754382530.086835,698,384,567,383,627,475,632,383,131,1,5,92
1754382530.1195679,699,384,567,383,627,475,633,383,132,1,6,92
1754382530.1515641,699,384,568,383,628,475,633,383,131,1,5,92
1754382530.186153,699,387,568,386,628,476,633,386,131,1,5,90
1754382530.217366,700,390,570,390,628,478,635,390,130,0,7,88
1754382530.2505522,697,392,567,391,628,478,632,391,130,1,4,87
1754382530.2867048,700,390,569,389,629,477,634,389,131,1,5,88
1754382530.319262,700,387,568,386,629,476,634,386,132,1,5,90
1754382530.351084,701,385,568,384,629,476,634,384,133,1,5,92
1754382530.3860512,700,383,569,384,629,476,634,383,131,1,5,93
1754382530.4180968,701,384,568,383,630,475,634,383,133,1,4,92
1754382530.4514828,701,384,569,383,630,475,635,383,132,1,5,92
1754382530.48644,700,384,568,383,630,475,634,383,132,1,4,92
1754382530.51758,701,383,569,383,630,475,635,383,132,0,5,92
1754382530.551489,700,383,568,383,629,475,634,383,132,0,5,92
1754382530.586147,701,383,569,382,630,475,635,382,132,1,5,93
1754382530.619288,701,383,568,382,629,474,634,382,133,1,5,92
1754382530.650371,701,383,569,382,630,475,635,382,132,1,5,93
1754382530.686443,701,383,570,382,629,474,635,382,131,1,6,92
1754382530.7193139,702,383,571,382,631,474,636,382,131,1,5,92
1754382530.750695,702,383,571,383,630,474,636,383,131,0,6,91
1754382530.7836192,703,383,571,382,631,475,637,382,132,1,6,93
1754382530.818902,702,383,570,382,630,474,636,382,132,1,6,92
1754382530.849845,703,384,571,383,631,475,637,383,132,1,6,92
1754382530.883696,703,384,571,383,631,474,637,383,132,1,6,91
1754382530.9167712,704,384,571,383,631,475,637,383,133,1,6,92
1754382530.951971,703,384,571,383,631,475,637,383,132,1,6,92
1754382530.985067,704,384,572,383,631,476,638,383,132,1,7,93
1754382531.01838,703,384,571,383,631,475,637,383,132,1,6,92
1754382531.051889,704,384,572,383,631,475,638,383,132,1,7,92
1754382531.0844831,703,384,571,383,631,475,637,383,132,1,6,92
1754382531.119572,703,384,571,383,631,476,637,383,132,1,6,93
1754382531.1507058,702,385,570,383,631,476,636,384,132,2,5,92
1754382531.18607,703,384,571,383,631,476,637,383,132,1,6,93
1754382531.219509,702,385,570,383,631,475,636,384,132,2,5,91
1754382531.251478,703,385,571,384,631,476,637,384,132,1,6,92
1754382531.286051,702,385,570,383,631,475,636,384,132,2,5,91
1754382531.31648,703,385,571,384,631,476,637,384,132,1,6,92
